model,n_pairs,spearman_r,spearman_p,pearson_r,pearson_p
QWEN3,2775,0.19765265778639218,7.673919760041732e-26,0.21405874183170256,4.012308203257491e-30
JINA-V3,2775,0.19192925158806365,1.9640218213729415e-24,0.23258566630107128,2.1039773504133678e-35
GTE,2775,0.16645035154188698,1.0848423562549143e-18,0.18942823554484087,7.847362669383483e-24
E5-ASYMMETRIC-INSTRUCT,2775,0.14031115743360656,1.1297160899145359e-13,0.17827541957676196,2.994944058763823e-21
NOMIC-V2,2775,0.1284730742674631,1.099346843431487e-11,0.15440692642536752,2.854463393285238e-16
BGE-M3,2775,0.1119569463759226,3.3462757294416216e-09,0.1411321668646325,8.101627487924415e-14
E5-INSTRUCT,2775,0.10541794525493194,2.6028256216683606e-08,0.16391988404012361,3.625497086228338e-18
E5-ASYMMETRIC,2775,0.07520440297213245,7.325171584057011e-05,0.1171127846905305,6.100096888770676e-10
E5,2775,0.06772725111040237,0.0003566452038634802,0.10580056685548248,2.316047157016439e-08
SBERT,2775,0.059867616203850775,0.0016042570682526533,0.10305265367108925,5.307764473186066e-08
